k,domain,eval_seed,tightening,n_gen1,revoke_rate,regeneration_success_rate,random_redraw_success_rate,SR_discard,GC_discard,SR_regenerate,n_revoked,n_regen_ok,n_redraw_ok,Rel_baseline,Rel_discard,Rel_regenerate
13,Healthcare,13043,0.05,196,0.30612244897959184,0.9,0.06666666666666667,0.6938775510204082,0.6938775510204082,0.9693877551020408,60,54,4,0.9119977795665627,0.7596878829797651,0.9049366204703443
14,RLV,14042,0.05,199,0.21608040201005024,0.9069767441860465,0.0,0.7839195979899497,0.7839195979899498,0.9798994974874372,43,39,0,0.901338399360766,0.7980381156918652,0.8967745139997141
14,Healthcare,14043,0.05,194,0.26288659793814434,0.9607843137254902,0.0392156862745098,0.7371134020618557,0.7371134020618557,0.9896907216494846,51,49,2,0.8885201375778108,0.7628417063915928,0.8862212305085287
15,RLV,15042,0.05,196,0.32142857142857145,0.8571428571428571,0.06349206349206349,0.6785714285714286,0.6785714285714286,0.9540816326530612,63,54,4,0.8845552690537882,0.7286563577720486,0.8742212475455251
15,Healthcare,15043,0.05,195,0.3487179487179487,0.9117647058823529,0.07352941176470588,0.6512820512820513,0.6512820512820513,0.9692307692307692,68,62,5,0.8867039196432553,0.7155882207292572,0.8798029755499097
16,RLV,16042,0.05,196,0.33163265306122447,0.8461538461538461,0.046153846153846156,0.6683673469387755,0.6683673469387755,0.9489795918367347,65,55,3,0.9040264776245638,0.7390754264905266,0.8922681044905788
16,Healthcare,16043,0.05,196,0.35714285714285715,0.8428571428571429,0.02857142857142857,0.6428571428571429,0.6428571428571428,0.9438775510204082,70,59,2,0.8936953503671469,0.7165503876914487,0.8808833732068945
17,RLV,17042,0.05,199,0.271356783919598,0.9814814814814815,0.037037037037037035,0.7286432160804021,0.728643216080402,0.9949748743718593,54,53,2,0.8939294869815819,0.7630635803899795,0.892804337506043
17,Healthcare,17043,0.05,196,0.27040816326530615,0.8679245283018868,0.07547169811320754,0.7295918367346939,0.7295918367346939,0.9642857142857143,53,46,4,0.9059456749859905,0.7738239000405336,0.8977462283017973
18,RLV,18042,0.05,198,0.2676767676767677,0.8679245283018868,0.03773584905660377,0.7323232323232324,0.7323232323232323,0.9646464646464646,53,46,2,0.8913046010477391,0.7627418123543287,0.883320262150918
18,Healthcare,18043,0.05,198,0.3282828282828283,0.8615384615384616,0.07692307692307693,0.6717171717171717,0.6717171717171717,0.9545454545454546,65,56,5,0.8937100456626049,0.7324700389657345,0.8833764009768713
19,RLV,19042,0.05,199,0.35175879396984927,0.8714285714285714,0.07142857142857142,0.6482412060301508,0.6482412060301508,0.9547738693467337,70,61,5,0.8840096489509155,0.7117464706834653,0.8738404343026343
19,Healthcare,19043,0.05,193,0.2849740932642487,0.8,0.01818181818181818,0.7150259067357513,0.7150259067357513,0.9430051813471503,55,44,1,0.8846265651266895,0.7480331863549261,0.8717430562216041
20,RLV,20042,0.05,200,0.3,0.8833333333333333,0.08333333333333333,0.7,0.7,0.965,60,53,5,0.9002322948938233,0.7531883757326979,0.8922497132999175
20,Healthcare,20043,0.05,195,0.3435897435897436,0.9104477611940298,0.07462686567164178,0.6564102564102564,0.6564102564102564,0.9692307692307692,67,61,5,0.8911580525502208,0.7220086736889788,0.8842224433093617
21,RLV,21042,0.05,199,0.22110552763819097,0.9090909090909091,0.09090909090909091,0.7788944723618091,0.778894472361809,0.9798994974874372,44,40,4,0.8983265194379083,0.7928180543914543,0.8937778845917561
21,Healthcare,21043,0.05,196,0.2755102040816326,0.9444444444444444,0.07407407407407407,0.7244897959183674,0.7244897959183674,0.9846938775510204,54,51,4,0.9079517630353323,0.7728209965400332,0.9044573360695237
22,RLV,22042,0.05,198,0.2474747474747475,0.8979591836734694,0.04081632653061224,0.7525252525252525,0.7525252525252525,0.9747474747474747,49,44,2,0.8955765043436574,0.7768966170017275,0.8898682689810834
