k,domain,width_x_halfwidth,shapley_local_vs_cf,lime_local_vs_cf,shapley_vs_lime
12,RLV,1.0,0.6333333333333333,0.78,0.6666666666666666
12,RLV,2.0,0.3933333333333333,0.7066666666666667,0.36
12,RLV,4.0,0.2733333333333333,0.21333333333333335,0.26666666666666666
12,Healthcare,0.25,0.8333333333333334,0.9266666666666666,0.8533333333333334
12,Healthcare,0.5,0.8466666666666667,0.9333333333333333,0.8466666666666667
12,Healthcare,1.0,0.7,0.84,0.6266666666666667
12,Healthcare,2.0,0.29333333333333333,0.6866666666666666,0.24
12,Healthcare,4.0,0.2866666666666667,0.32,0.22666666666666666
13,RLV,0.25,0.7733333333333333,0.8066666666666666,0.8
13,RLV,0.5,0.8066666666666666,0.86,0.8266666666666667
13,RLV,1.0,0.6466666666666666,0.7933333333333333,0.7
13,RLV,2.0,0.3466666666666667,0.58,0.3333333333333333
13,RLV,4.0,0.24666666666666667,0.28,0.2733333333333333
13,Healthcare,0.25,0.8666666666666667,0.9,0.8733333333333333
13,Healthcare,0.5,0.8866666666666667,0.8866666666666667,0.8733333333333333
13,Healthcare,1.0,0.7133333333333334,0.8866666666666667,0.6933333333333334
13,Healthcare,2.0,0.41333333333333333,0.62,0.36666666666666664
13,Healthcare,4.0,0.3333333333333333,0.32,0.3
14,RLV,0.25,0.88,0.8933333333333333,0.8533333333333334
14,RLV,0.5,0.8,0.8933333333333333,0.8333333333333334
14,RLV,1.0,0.6733333333333333,0.8533333333333334,0.68
14,RLV,2.0,0.44666666666666666,0.7,0.4266666666666667
14,RLV,4.0,0.25333333333333335,0.32,0.24
14,Healthcare,0.25,0.8533333333333334,0.9066666666666666,0.9066666666666666
14,Healthcare,0.5,0.84,0.92,0.8733333333333333
14,Healthcare,1.0,0.6733333333333333,0.8533333333333334,0.68
14,Healthcare,2.0,0.3466666666666667,0.6466666666666666,0.3466666666666667
14,Healthcare,4.0,0.26666666666666666,0.4066666666666667,0.28
15,RLV,0.25,0.88,0.92,0.8933333333333333
15,RLV,0.5,0.8733333333333333,0.8733333333333333,0.9133333333333333
15,RLV,1.0,0.7533333333333333,0.82,0.72
15,RLV,2.0,0.43333333333333335,0.6866666666666666,0.41333333333333333
15,RLV,4.0,0.28,0.30666666666666664,0.26666666666666666
15,Healthcare,0.25,0.8666666666666667,0.8733333333333333,0.86
15,Healthcare,0.5,0.86,0.8666666666666667,0.8533333333333334
15,Healthcare,1.0,0.7466666666666667,0.8333333333333334,0.6933333333333334
15,Healthcare,2.0,0.4,0.6466666666666666,0.36666666666666664
15,Healthcare,4.0,0.3466666666666667,0.32666666666666666,0.26666666666666666
16,RLV,0.25,0.8266666666666667,0.8733333333333333,0.8733333333333333
16,RLV,0.5,0.8466666666666667,0.8666666666666667,0.84
16,RLV,1.0,0.68,0.8333333333333334,0.6466666666666666
16,RLV,2.0,0.3466666666666667,0.6266666666666667,0.30666666666666664
16,RLV,4.0,0.24666666666666667,0.2866666666666667,0.26666666666666666
16,Healthcare,0.25,0.8666666666666667,0.9,0.8866666666666667
16,Healthcare,0.5,0.8466666666666667,0.9,0.8866666666666667
16,Healthcare,1.0,0.7333333333333333,0.8666666666666667,0.7333333333333333
16,Healthcare,2.0,0.4066666666666667,0.7066666666666667,0.42
16,Healthcare,4.0,0.23333333333333334,0.35333333333333333,0.3
17,RLV,0.25,0.86,0.8533333333333334,0.8466666666666667
17,RLV,0.5,0.8466666666666667,0.86,0.8666666666666667
17,RLV,1.0,0.7533333333333333,0.8533333333333334,0.7333333333333333
17,RLV,2.0,0.30666666666666664,0.6,0.3
17,RLV,4.0,0.22,0.32,0.28
17,Healthcare,0.25,0.8533333333333334,0.8866666666666667,0.86
17,Healthcare,0.5,0.8666666666666667,0.8733333333333333,0.8466666666666667
17,Healthcare,1.0,0.7333333333333333,0.8866666666666667,0.7266666666666667
17,Healthcare,2.0,0.3466666666666667,0.6733333333333333,0.3466666666666667
17,Healthcare,4.0,0.26,0.3333333333333333,0.21333333333333335
18,RLV,0.25,0.8933333333333333,0.9066666666666666,0.9133333333333333
18,RLV,0.5,0.8933333333333333,0.9133333333333333,0.8933333333333333
18,RLV,1.0,0.6733333333333333,0.8266666666666667,0.6866666666666666
18,RLV,2.0,0.38666666666666666,0.6333333333333333,0.3333333333333333
18,RLV,4.0,0.2733333333333333,0.32666666666666666,0.31333333333333335
18,Healthcare,0.25,0.8733333333333333,0.92,0.9266666666666666
18,Healthcare,0.5,0.8666666666666667,0.8866666666666667,0.84
18,Healthcare,1.0,0.72,0.8533333333333334,0.7133333333333334
18,Healthcare,2.0,0.2866666666666667,0.6266666666666667,0.2866666666666667
18,Healthcare,4.0,0.26666666666666666,0.36,0.21333333333333335
19,RLV,0.25,0.8266666666666667,0.8733333333333333,0.8866666666666667
19,RLV,0.5,0.84,0.8733333333333333,0.8933333333333333
19,RLV,1.0,0.6933333333333334,0.7266666666666667,0.68
19,RLV,2.0,0.3333333333333333,0.6866666666666666,0.31333333333333335
19,RLV,4.0,0.37333333333333335,0.21333333333333335,0.23333333333333334
19,Healthcare,0.25,0.8533333333333334,0.8666666666666667,0.8466666666666667
19,Healthcare,0.5,0.8533333333333334,0.86,0.88
19,Healthcare,1.0,0.6266666666666667,0.8266666666666667,0.6333333333333333
19,Healthcare,2.0,0.36666666666666664,0.5866666666666667,0.31333333333333335
19,Healthcare,4.0,0.2733333333333333,0.3466666666666667,0.17333333333333334
20,RLV,0.25,0.8466666666666667,0.9,0.8533333333333334
20,RLV,0.5,0.8266666666666667,0.8666666666666667,0.8466666666666667
20,RLV,1.0,0.72,0.84,0.6933333333333334
20,RLV,2.0,0.37333333333333335,0.68,0.3333333333333333
20,RLV,4.0,0.22666666666666666,0.30666666666666664,0.32
20,Healthcare,0.25,0.8866666666666667,0.8933333333333333,0.9266666666666666
20,Healthcare,0.5,0.8266666666666667,0.8533333333333334,0.86
20,Healthcare,1.0,0.7466666666666667,0.8866666666666667,0.7133333333333334
20,Healthcare,2.0,0.31333333333333335,0.5866666666666667,0.28
20,Healthcare,4.0,0.18,0.22666666666666666,0.24
21,RLV,0.25,0.9,0.8733333333333333,0.8933333333333333
21,RLV,0.5,0.8666666666666667,0.88,0.9066666666666666
21,RLV,1.0,0.6533333333333333,0.8933333333333333,0.6466666666666666
21,RLV,2.0,0.31333333333333335,0.6733333333333333,0.35333333333333333
21,RLV,4.0,0.24666666666666667,0.29333333333333333,0.26
21,Healthcare,0.25,0.8666666666666667,0.88,0.8666666666666667
21,Healthcare,0.5,0.8533333333333334,0.9333333333333333,0.84
21,Healthcare,1.0,0.7866666666666666,0.9133333333333333,0.7533333333333333
21,Healthcare,2.0,0.42,0.6133333333333333,0.34
21,Healthcare,4.0,0.25333333333333335,0.32,0.26
22,RLV,0.25,0.84,0.8866666666666667,0.8866666666666667
22,RLV,0.5,0.86,0.8733333333333333,0.88
22,RLV,1.0,0.72,0.8333333333333334,0.6533333333333333
22,RLV,2.0,0.37333333333333335,0.6,0.37333333333333335
22,RLV,4.0,0.30666666666666664,0.3,0.25333333333333335
22,Healthcare,0.25,0.84,0.88,0.8333333333333334
22,Healthcare,0.5,0.8333333333333334,0.86,0.8733333333333333
22,Healthcare,1.0,0.6866666666666666,0.8666666666666667,0.6666666666666666
22,Healthcare,2.0,0.38,0.62,0.32
22,Healthcare,4.0,0.3,0.31333333333333335,0.30666666666666664
23,RLV,0.25,0.8866666666666667,0.8933333333333333,0.8866666666666667
23,RLV,0.5,0.8666666666666667,0.8866666666666667,0.8733333333333333
23,RLV,1.0,0.74,0.8333333333333334,0.7333333333333333
23,RLV,2.0,0.38,0.6466666666666666,0.29333333333333333
23,RLV,4.0,0.32,0.29333333333333333,0.23333333333333334
23,Healthcare,0.25,0.8466666666666667,0.88,0.8666666666666667
23,Healthcare,0.5,0.8266666666666667,0.88,0.8866666666666667
23,Healthcare,1.0,0.7066666666666667,0.8733333333333333,0.7266666666666667
23,Healthcare,2.0,0.38,0.58,0.28
23,Healthcare,4.0,0.2733333333333333,0.29333333333333333,0.20666666666666667
24,RLV,0.25,0.86,0.8666666666666667,0.86
24,RLV,0.5,0.84,0.86,0.8733333333333333
24,RLV,1.0,0.6866666666666666,0.78,0.6133333333333333
24,RLV,2.0,0.41333333333333333,0.6133333333333333,0.3333333333333333
24,RLV,4.0,0.25333333333333335,0.32,0.29333333333333333
24,Healthcare,0.25,0.8466666666666667,0.9,0.84
24,Healthcare,0.5,0.8133333333333334,0.9133333333333333,0.8333333333333334
24,Healthcare,1.0,0.74,0.84,0.6933333333333334
24,Healthcare,2.0,0.4066666666666667,0.6333333333333333,0.3466666666666667
24,Healthcare,4.0,0.23333333333333334,0.35333333333333333,0.26
25,RLV,0.25,0.8266666666666667,0.86,0.8533333333333334
25,RLV,0.5,0.8,0.8666666666666667,0.8266666666666667
25,RLV,1.0,0.7466666666666667,0.7533333333333333,0.74
25,RLV,2.0,0.36,0.6333333333333333,0.31333333333333335
25,RLV,4.0,0.28,0.24666666666666667,0.2866666666666667
25,Healthcare,0.25,0.8533333333333334,0.8866666666666667,0.84
25,Healthcare,0.5,0.8266666666666667,0.86,0.8466666666666667
25,Healthcare,1.0,0.62,0.86,0.6
25,Healthcare,2.0,0.38666666666666666,0.66,0.36666666666666664
25,Healthcare,4.0,0.24666666666666667,0.3,0.22666666666666666
26,RLV,0.25,0.8,0.84,0.86
26,RLV,0.5,0.7866666666666666,0.8533333333333334,0.7866666666666666
26,RLV,1.0,0.68,0.7733333333333333,0.6533333333333333
26,RLV,2.0,0.32666666666666666,0.64,0.38666666666666666
26,RLV,4.0,0.23333333333333334,0.24666666666666667,0.2866666666666667
26,Healthcare,0.25,0.8733333333333333,0.8666666666666667,0.8666666666666667
26,Healthcare,0.5,0.8133333333333334,0.8666666666666667,0.82
26,Healthcare,1.0,0.72,0.8066666666666666,0.72
26,Healthcare,2.0,0.32666666666666666,0.62,0.38666666666666666
26,Healthcare,4.0,0.24666666666666667,0.26666666666666666,0.24666666666666667
27,RLV,0.25,0.7866666666666666,0.86,0.8066666666666666
27,RLV,0.5,0.84,0.8466666666666667,0.8533333333333334
27,RLV,1.0,0.68,0.7866666666666666,0.7533333333333333
27,RLV,2.0,0.3,0.5466666666666666,0.35333333333333333
27,RLV,4.0,0.24666666666666667,0.23333333333333334,0.24
27,Healthcare,0.25,0.8333333333333334,0.9,0.84
27,Healthcare,0.5,0.8533333333333334,0.8466666666666667,0.8
27,Healthcare,1.0,0.66,0.8066666666666666,0.66
27,Healthcare,2.0,0.32,0.6066666666666667,0.35333333333333333
27,Healthcare,4.0,0.29333333333333333,0.3466666666666667,0.2
28,RLV,0.25,0.8466666666666667,0.8666666666666667,0.9
28,RLV,0.5,0.8266666666666667,0.84,0.8066666666666666
28,RLV,1.0,0.6733333333333333,0.84,0.6666666666666666
28,RLV,2.0,0.32666666666666666,0.6733333333333333,0.32666666666666666
28,RLV,4.0,0.21333333333333335,0.26,0.18666666666666668
28,Healthcare,0.25,0.9133333333333333,0.8866666666666667,0.8866666666666667
28,Healthcare,0.5,0.9,0.8933333333333333,0.8866666666666667
28,Healthcare,1.0,0.7133333333333334,0.8933333333333333,0.74
28,Healthcare,2.0,0.38,0.6133333333333333,0.32
28,Healthcare,4.0,0.38,0.2866666666666667,0.20666666666666667
29,RLV,0.25,0.8733333333333333,0.8666666666666667,0.8666666666666667
29,RLV,0.5,0.86,0.8466666666666667,0.8333333333333334
