arm,k,domain,A_triad,TS_mean,SR_mean,Rel_mean,genesis_rmsd_vs_ref,Ag_agreement_vs_ref
mlp1_r4,22,Healthcare,0.746821095526947,0.9191537746437652,0.8547499999999999,0.8602634601424023,0.0501855473434813,0.9443207126948776
attn1,22,RLV,0.6999371022979228,0.9159678565258972,0.8786666666666667,0.8578843267105739,0.0632070314643187,0.9498327759197324
attn1,22,Healthcare,0.7174583119869933,0.917757395193838,0.8484999999999999,0.8544626023674753,0.0768279052729577,0.9020044543429844
mlp1_tanh_s018_r2,23,RLV,0.7089710436016367,0.9180800103163324,0.8635833333333334,0.8470960947857907,0.0,1.0
mlp1_tanh_s018_r2,23,Healthcare,0.7034257380017834,0.9136322457919264,0.7825,0.804372189207971,0.0,1.0
mlp1_relu,23,RLV,0.7082693271846404,0.91872790211092,0.8765000000000001,0.8598923886086521,0.0615271625115831,0.9580193756727664
mlp1_relu,23,Healthcare,0.7163071560301075,0.9147910066537958,0.8089166666666666,0.8243441960721591,0.0523118882376653,0.9603624009060022
mlp2_tanh,23,RLV,0.7072034242598081,0.9195425399739654,0.885,0.8598813916814304,0.0686868725026134,0.9397201291711518
mlp2_tanh,23,Healthcare,0.7032063627418923,0.9145990306399082,0.8055833333333333,0.8180024625733674,0.0554909946900348,0.9524348810872028
mlp1_s009,23,RLV,0.7068850973004049,0.9187308541393092,0.8833333333333333,0.8617206453544014,0.0395137231160166,0.9590958019375672
mlp1_s009,23,Healthcare,0.7077085030321757,0.9143777649784394,0.804,0.8174632050605304,0.0307992986008336,0.9694224235560588
mlp1_s036,23,RLV,0.7075140112612308,0.9157122010352992,0.7839166666666667,0.7992465236865999,0.075432905100718,0.9009687836383208
mlp1_s036,23,Healthcare,0.6970104522620936,0.9115587976292971,0.72375,0.7726336855769661,0.0597719654641736,0.9229898074745186
mlp1_r1,23,RLV,0.7060372267733275,0.9179791647471656,0.8646666666666667,0.8490396325992998,0.0263213218102625,0.9870828848223896
mlp1_r1,23,Healthcare,0.7064133619647727,0.91346558316077,0.7849166666666667,0.805883876261669,0.0231302982757105,0.9909399773499432
mlp1_r4,23,RLV,0.7020043764342404,0.9176924518870252,0.8554166666666667,0.8450459797487482,0.0312571152065004,0.9741657696447792
mlp1_r4,23,Healthcare,0.6925094896120391,0.9126876231287095,0.75775,0.7873388452013915,0.0382517666695084,0.9592298980747452
