k,domain,eval_seed,A_triad,CKA_genesis_repair,CKA_genesis_context,CKA_repair_context,TS_mean,SR_mean,SR_zero_events,Rel_mean,Rel_event_sd,baseline_balanced_accuracy,baseline_f1
15,Healthcare,15043,0.6769890540080431,0.8615519054273107,0.5691993204626441,0.6002159361341742,0.9131305358996005,0.8184999999999999,5,0.8214536844414243,0.14393456020862308,0.4916048237476809,0.6876640419947506
16,RLV,16042,0.7308859907425402,0.8789567320921651,0.6586239743191867,0.6550772658162689,0.913850101573854,0.8469999999999999,4,0.8497098926739993,0.13183921334415288,0.6011935651271406,0.7304785894206549
16,Healthcare,16043,0.6978139559074021,0.8672284916557212,0.6090853560235531,0.6171280200429323,0.9141518508142887,0.8030833333333334,4,0.826186145798016,0.13506421537426894,0.5527972027972028,0.6898395721925134
17,RLV,17042,0.6974624964439519,0.863750911288639,0.6093694818951442,0.6192670961480726,0.9155713458383358,0.8875833333333333,1,0.8598046558764659,0.08278282294454703,0.5813218390804598,0.7448979591836735
17,Healthcare,17043,0.7354247435479393,0.9044354787506957,0.6379037041521471,0.6639350477409752,0.9159470879865503,0.8140000000000001,4,0.8400393709470216,0.13790320494490937,0.5535714285714286,0.6575342465753424
18,RLV,18042,0.6882005991727983,0.8704110210807916,0.5870960251114001,0.6070947513262035,0.9170426772352179,0.8385833333333332,2,0.8392182588252087,0.1081828630802933,0.5729249011857708,0.7699757869249395
18,Healthcare,18043,0.6974490479247392,0.8771491025076646,0.6009093064869891,0.6142887347795637,0.9146902981370946,0.7939166666666668,2,0.8269925791784672,0.11656866414653587,0.6200347567030784,0.712707182320442
19,RLV,19042,0.6682839797798626,0.8476717353534534,0.5641675241727964,0.5930126798133378,0.913833282116172,0.8421666666666667,1,0.8380810704364788,0.08409082406841069,0.5289525691699605,0.7218045112781954
19,Healthcare,19043,0.6693646899458895,0.8621914889656479,0.5533220498881034,0.5925805309839173,0.9149073342067896,0.80875,7,0.8118702698141189,0.1625894592652632,0.5941148552444233,0.732620320855615
20,RLV,20042,0.7153737616677912,0.8800400342335688,0.6255528510213587,0.6405283997484461,0.9180901920059164,0.8970833333333332,0,0.8714761572099152,0.05709773416637755,0.5155728587319244,0.681704260651629
20,Healthcare,20043,0.6896534532711875,0.865932147301299,0.5827495026181636,0.6202787098940998,0.9145090926118982,0.8080833333333334,5,0.8227813453019643,0.14480000741431412,0.6095001380834024,0.7039106145251397
