k,domain,method,reference,n,agree_with_counterfactual
13,RLV,lime,local,150,0.8333333333333334
13,RLV,lime,pool,150,0.28
13,RLV,shapley_vs_lime,pool,150,0.56
13,RLV,shapley_vs_lime,local,150,0.86
13,Healthcare,shapley,pool,150,0.20666666666666667
13,Healthcare,shapley,local,150,0.9
13,Healthcare,lime,local,150,0.9
13,Healthcare,lime,pool,150,0.2866666666666667
13,Healthcare,shapley_vs_lime,pool,150,0.44
13,Healthcare,shapley_vs_lime,local,150,0.8866666666666667
14,RLV,shapley,pool,150,0.18666666666666668
14,RLV,shapley,local,150,0.8533333333333334
14,RLV,lime,local,150,0.8733333333333333
14,RLV,lime,pool,150,0.19333333333333333
14,RLV,shapley_vs_lime,pool,150,0.5733333333333334
14,RLV,shapley_vs_lime,local,150,0.8866666666666667
14,Healthcare,shapley,pool,150,0.22666666666666666
14,Healthcare,shapley,local,150,0.86
14,Healthcare,lime,local,150,0.8933333333333333
14,Healthcare,lime,pool,150,0.26666666666666666
14,Healthcare,shapley_vs_lime,pool,150,0.7933333333333333
14,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
15,RLV,shapley,pool,150,0.24666666666666667
15,RLV,shapley,local,150,0.8666666666666667
15,RLV,lime,local,150,0.8733333333333333
15,RLV,lime,pool,150,0.3466666666666667
15,RLV,shapley_vs_lime,pool,150,0.5466666666666666
15,RLV,shapley_vs_lime,local,150,0.84
15,Healthcare,shapley,pool,150,0.30666666666666664
15,Healthcare,shapley,local,150,0.8466666666666667
15,Healthcare,lime,local,150,0.8866666666666667
15,Healthcare,lime,pool,150,0.29333333333333333
15,Healthcare,shapley_vs_lime,pool,150,0.48
15,Healthcare,shapley_vs_lime,local,150,0.8666666666666667
16,RLV,shapley,pool,150,0.28
16,RLV,shapley,local,150,0.8266666666666667
16,RLV,lime,local,150,0.8533333333333334
16,RLV,lime,pool,150,0.26
16,RLV,shapley_vs_lime,pool,150,0.44
16,RLV,shapley_vs_lime,local,150,0.8133333333333334
16,Healthcare,shapley,pool,150,0.24
16,Healthcare,shapley,local,150,0.8466666666666667
16,Healthcare,lime,local,150,0.9066666666666666
16,Healthcare,lime,pool,150,0.3
16,Healthcare,shapley_vs_lime,pool,150,0.6533333333333333
16,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
17,RLV,shapley,pool,150,0.24666666666666667
17,RLV,shapley,local,150,0.8
17,RLV,lime,local,150,0.8733333333333333
17,RLV,lime,pool,150,0.3
17,RLV,shapley_vs_lime,pool,150,0.2733333333333333
17,RLV,shapley_vs_lime,local,150,0.8533333333333334
17,Healthcare,shapley,pool,150,0.30666666666666664
17,Healthcare,shapley,local,150,0.9
17,Healthcare,lime,local,150,0.8866666666666667
17,Healthcare,lime,pool,150,0.26666666666666666
17,Healthcare,shapley_vs_lime,pool,150,0.5733333333333334
17,Healthcare,shapley_vs_lime,local,150,0.8266666666666667
18,RLV,shapley,pool,150,0.24
18,RLV,shapley,local,150,0.8933333333333333
18,RLV,lime,local,150,0.8866666666666667
18,RLV,lime,pool,150,0.26
18,RLV,shapley_vs_lime,pool,150,0.6333333333333333
18,RLV,shapley_vs_lime,local,150,0.8933333333333333
18,Healthcare,shapley,pool,150,0.26666666666666666
18,Healthcare,shapley,local,150,0.86
18,Healthcare,lime,local,150,0.8733333333333333
18,Healthcare,lime,pool,150,0.22
18,Healthcare,shapley_vs_lime,pool,150,0.6333333333333333
18,Healthcare,shapley_vs_lime,local,150,0.8933333333333333
19,RLV,shapley,pool,150,0.34
19,RLV,shapley,local,150,0.82
19,RLV,lime,local,150,0.8733333333333333
19,RLV,lime,pool,150,0.3
19,RLV,shapley_vs_lime,pool,150,0.5066666666666667
19,RLV,shapley_vs_lime,local,150,0.88
