k,domain,gene_dropped,A_triad_mean,A_triad_std,TS_mean,SR,Rel,Rel_delta_vs_full,baseline_balanced_accuracy_mean,baseline_balanced_accuracy_std,baseline_f1_mean
21,Healthcare,D,0.7126428902518319,0.0,0.9158393834177595,0.8890833333333333,0.872787334400872,0.02473101356433749,0.5801515151515151,0.0,0.673972602739726
21,Healthcare,E,0.6991772447345692,0.0,0.9184418770554961,0.8639166666666667,0.8630335993247815,0.014977278488247037,0.5685353535353536,0.0,0.6881720430107527
22,RLV,S,0.6762518552323095,0.0,0.9194810074786673,0.9068333333333334,0.8665520959243664,0.013366753595951186,0.5129611166500498,0.0,0.7022900763358778
22,RLV,A,0.7184425635174119,0.0,0.9192155439132321,0.8890833333333333,0.8753625662678578,0.022177223939442547,0.5361415752741774,0.0,0.7171717171717171
22,RLV,D,0.6031148647053742,0.0,0.9153036424437035,0.90575,0.8408981392188565,-0.012287203109558775,0.5423728813559322,0.0,0.7058823529411765
22,RLV,E,0.7092555249669713,0.0,0.9174877064672327,0.8901666666666668,0.8724058663008099,0.0192205239723946,0.527542372881356,0.0,0.6822916666666666
22,Healthcare,S,0.6733179837691426,0.0,0.9197946139133859,0.9058333333333333,0.8654457381621873,0.007978616381532189,0.513366705719459,0.0,0.6789473684210526
22,Healthcare,A,0.7144185162171243,0.0,0.9218817057985942,0.8825833333333333,0.8731641678176235,0.01569704603696842,0.5952710618809245,0.0,0.7037037037037037
22,Healthcare,D,0.6930213366797068,0.0,0.9156611965534711,0.8784166666666667,0.8640631735192597,0.006596051738604558,0.4742251570987326,0.0,0.7037974683544304
22,Healthcare,E,0.6763002759316907,0.0,0.9176624548589087,0.8819999999999999,0.8601471967264711,0.0026800749458160134,0.4758760251357972,0.0,0.6542553191489362
23,RLV,S,0.6828734658889707,0.0,0.9182257323483878,0.8829166666666667,0.8625858964769813,0.015489801691190519,0.4828525641025641,0.0,0.6335078534031413
23,RLV,A,0.7312134312232378,0.0,0.9216003125179343,0.89125,0.8803321831679705,0.03323608838217973,0.5657051282051282,0.0,0.6735751295336787
23,RLV,D,0.5839949700771198,0.0,0.9171269060459715,0.9003333333333333,0.8333174336056702,-0.0137786611801205,0.6068910256410256,0.0,0.6432432432432432
23,RLV,E,0.7203334149495596,0.0,0.9189735964681038,0.9057499999999998,0.8799565623434054,0.032860467557614625,0.6384615384615384,0.0,0.6772486772486772
23,Healthcare,S,0.6107924958302031,0.0,0.9143861147573775,0.8366666666666667,0.8267875827876395,0.022415393579668486,0.5233680792891319,0.0,0.6629213483146067
23,Healthcare,A,0.6758399557436446,0.0,0.9178849287777627,0.8434999999999999,0.8505097515969786,0.04613756238900757,0.501836978810663,0.0,0.6282420749279539
23,Healthcare,D,0.6601895832475366,0.0,0.913388800662664,0.8381666666666666,0.8431671612495448,0.03879497204157378,0.5364405331510596,0.0,0.6590909090909091
23,Healthcare,E,0.6507824957921122,0.0,0.9133715514115498,0.8166666666666668,0.8347031325122055,0.03033094330423447,0.5031185919343815,0.0,0.6554621848739496
24,RLV,S,0.6797212869544923,0.0,0.9181238823149868,0.8946666666666667,0.8644171069629224,0.01581312306810001,0.6051753881541115,0.0,0.6947368421052632
24,RLV,A,0.6899900825842553,0.0,0.9197739783012653,0.8875833333333333,0.8663298457565162,0.01772586186169378,0.5603795284646349,0.0,0.6824146981627297
24,RLV,D,0.6057207191108261,0.0,0.9146794990947049,0.9034166666666666,0.8411188545131892,-0.007485129381633149,0.541230592294422,0.0,0.6505376344086021
24,RLV,E,0.6952214676696897,0.0,0.9174608899577243,0.8924166666666667,0.8685995532758171,0.01999556938099467,0.4636572742955722,0.0,0.6666666666666666
24,Healthcare,S,0.6497980934915991,0.0,0.91606231225581,0.8693333333333334,0.8481495682222754,0.016030571383198744,0.5175229357798166,0.0,0.663013698630137
24,Healthcare,A,0.6674585711219766,0.0,0.9161239613184653,0.8591666666666667,0.8513614749600379,0.01924247812096125,0.49146788990825685,0.0,0.6350974930362117
24,Healthcare,D,0.66826958666445,0.0,0.9123187504728386,0.8503333333333333,0.8485391317794908,0.016420134940414166,0.5452293577981652,0.0,0.6648199445983379
24,Healthcare,E,0.6779904742857598,0.0,0.9131256078912764,0.8510833333333332,0.8519842180819178,0.01986522124284118,0.5277064220183487,0.0,0.6206896551724138
25,RLV,S,0.6655818267052912,0.0,0.912317252109979,0.8661666666666668,0.8516030384995112,0.009837673511454814,0.60855299135951,0.0,0.7065217391304348
25,RLV,A,0.7190184247910575,0.0,0.9151357644261757,0.8817500000000001,0.8727558207862564,0.030990455798199923,0.6508804549928908,0.0,0.7379679144385026
25,RLV,D,0.5487452068414335,0.0,0.9126622496574708,0.9009999999999999,0.819598971052661,-0.022166393935395434,0.6053264792737614,0.0,0.7184986595174263
25,RLV,E,0.684338838330961,0.0,0.9143276875613413,0.8925833333333333,0.8644810111666464,0.02271564617859001,0.6175216012249809,0.0,0.7204301075268817
25,Healthcare,S,0.6338708551656438,0.0,0.916007049339675,0.84075,0.8358755441019551,0.01445264344612951,0.5335763293310463,0.0,0.6912928759894459
25,Healthcare,A,0.6502339896117135,0.0,0.9177224624685972,0.8598333333333333,0.8463477163459127,0.024924815690087088,0.5153945111492282,0.0,0.6630727762803235
25,Healthcare,D,0.6416292396059659,0.0,0.9138404727332357,0.8582500000000001,0.8422520696990194,0.020829169043193874,0.5218696397941681,0.0,0.6860158311345647
25,Healthcare,E,0.6778254959002125,0.0,0.917830813056983,0.85675,0.8544441127812553,0.033021212125429744,0.5131217838765009,0.0,0.6594594594594595
26,RLV,S,0.6879593455165166,0.0,0.9152941216207382,0.8690000000000001,0.8600739740696174,0.009159988642030381,0.6245893719806763,0.0,0.7582697201017812
26,RLV,A,0.7089199817501982,0.0,0.9181099837602159,0.8850833333333332,0.8712023186901798,0.020288333262592828,0.5823671497584542,0.0,0.6951871657754011
26,RLV,D,0.5656251522388799,0.0,0.9130546345873598,0.8680000000000001,0.818250540711772,-0.03266344471581506,0.6290338164251208,0.0,0.7645569620253164
26,RLV,E,0.7217469920106936,0.0,0.9127614997661032,0.8669166666666667,0.8693204818868369,0.018406496459249855,0.5717391304347825,0.0,0.7086614173228346
26,Healthcare,S,0.652917051604105,0.0,0.9173194764189543,0.8795833333333334,0.8519496017182727,-0.0026407008318357628,0.5783601453035807,0.0,0.712468193384224
26,Healthcare,A,0.6984322714507128,0.0,0.9179563469737524,0.88425,0.8677214810886323,0.013131178538523858,0.5193565127140634,0.0,0.6344086021505376
26,Healthcare,D,0.7223496804696382,0.0,0.9158537851564617,0.8941666666666666,0.8769968357235838,0.022406533173475296,0.5518422418266735,0.0,0.7055837563451777
26,Healthcare,E,0.7001915197836858,0.0,0.9180329242154684,0.8951666666666667,0.8709530640976957,0.0163627615475872,0.5454592631032693,0.0,0.6956521739130435
27,RLV,S,0.6684233435800321,0.0,0.9181717790020244,0.8960833333333333,0.8611543249959898,0.012706498081512696,0.5428571428571428,0.0,0.6751269035532995
27,RLV,A,0.7063999590138228,0.0,0.9214769124854725,0.8968333333333334,0.8741011998532371,0.025653372938760022,0.5612244897959184,0.0,0.661498708010336
27,RLV,D,0.611992530937855,0.0,0.9187259936898851,0.92475,0.8491591946561836,0.0007113677417065478,0.5510204081632653,0.0,0.6884422110552764
27,RLV,E,0.7054813868216319,0.0,0.9183123013801846,0.8909999999999999,0.8716425378426268,0.02319471092814973,0.463265306122449,0.0,0.6068601583113457
27,Healthcare,S,0.6418086859955432,0.0,0.9173775998832274,0.85525,0.842387087550982,0.007853803607139387,0.45018939393939394,0.0,0.6166666666666667
27,Healthcare,A,0.6827876907072827,0.0,0.9182090761440425,0.8549166666666665,0.8556334648852805,0.02110018094143784,0.5100378787878788,0.0,0.6538461538461539
27,Healthcare,D,0.693043428177733,0.0,0.9161734091040672,0.8669166666666667,0.8613484394184804,0.026815155474637753,0.5028409090909092,0.0,0.6720430107526881
27,Healthcare,E,0.6422922246031021,0.0,0.9175988701587143,0.8532499999999998,0.842103471938359,0.007570187994516364,0.5829545454545455,0.0,0.6666666666666666
28,RLV,S,0.7184736330219516,0.0,0.9208992252577554,0.9090833333333334,0.8806567323985469,0.020976741072365912,0.6326021934197408,0.0,0.6984126984126984
28,RLV,A,0.7531197988177482,0.0,0.9224187868053062,0.9138333333333334,0.8926162729056061,0.032936281579425075,0.6765952143569292,0.0,0.6811989100817438
28,RLV,D,0.6088928782540978,0.0,0.9166099546177795,0.89225,0.840045878032031,-0.01963411329414999,0.6830757726819541,0.0,0.7142857142857143
28,RLV,E,0.7347389381934692,0.0,0.91939359433709,0.9000833333333333,0.8830378361049092,0.023357844778728154,0.6704885343968096,0.0,0.7157894736842105
28,Healthcare,S,0.6343862959167897,0.0,0.9156674770871129,0.8431666666666666,0.8365680088067894,0.012547427920134413,0.5394864341085271,0.0,0.6703910614525139
28,Healthcare,A,0.696315034353475,0.0,0.9189216406336012,0.8382499999999999,0.8557845732110628,0.03176399232440785,0.5953003875968992,0.0,0.7539267015706806
28,Healthcare,D,0.7278979576098396,0.0,0.9168976872590453,0.8866666666666666,0.8770774393526773,0.05305685846602237,0.5547480620155039,0.0,0.7349081364829396
28,Healthcare,E,0.6686833222741203,0.0,0.9166217067572304,0.8454166666666667,0.8484384827137047,0.024417901827049726,0.5420058139534883,0.0,0.7296587926509186
29,RLV,S,0.6459373623789607,0.0,0.9168883322505768,0.8608333333333333,0.8449995581620857,0.007174101151771084,0.5339616842536625,0.0,0.657608695652174
29,RLV,A,0.7370921102284864,0.0,0.9180551762900807,0.8733333333333334,0.876784059994725,0.03895860298441034,0.5506095686917325,0.0,0.650137741046832
29,RLV,D,0.5780514949253889,0.0,0.9137521998217919,0.8904166666666665,0.8281272224930184,-0.009698234517296234,0.5600348324966704,0.0,0.6481994459833795
29,RLV,E,0.7215635394297979,0.0,0.9161259025723822,0.8744999999999998,0.8719616592931044,0.034136202282789796,0.4515930744800738,0.0,0.6077348066298343
29,Healthcare,S,0.6498362456180375,0.0,0.9163781110462528,0.8697500000000001,0.8483367261573687,0.0036940096258627486,0.485850998147767,0.0,0.6648936170212766
29,Healthcare,A,0.7211330911673818,0.0,0.9173462286440996,0.8881666666666667,0.8755093603568972,0.030866643825391282,0.5285038073677711,0.0,0.6483516483516484
29,Healthcare,D,0.7165498106343736,0.0,0.9150139191494461,0.8725833333333333,0.869701561694219,0.02505884516271306,0.5251594978390615,0.0,0.6773333333333333
29,Healthcare,E,0.6781221203011905,0.0,0.9147123753278527,0.8719999999999999,0.8575851215708024,0.012942405039296445,0.5207347190779996,0.0,0.6702412868632708
30,RLV,S,0.6799463345456717,0.0,0.9188501802488552,0.9109166666666667,0.8685593454041234,0.015417652079449895,0.5613329875518672,0.0,0.6923076923076923
30,RLV,A,0.6902170768595273,0.0,0.9174224743102473,0.8933333333333333,0.8672456967967511,0.01410400347207763,0.5686592323651452,0.0,0.6805194805194805
30,RLV,D,0.6186565237548435,0.0,0.9163595155611926,0.9248333333333332,0.8509317753942247,-0.0022099179304487793,0.6174792531120332,0.0,0.735
30,RLV,E,0.6989622148389718,0.0,0.9152729680016907,0.8959166666666667,0.8700976338989552,0.016955940574281736,0.6008817427385892,0.0,0.7091836734693877
30,Healthcare,S,0.6657785437724993,0.0,0.9208693413498786,0.8926666666666666,0.8601105639944359,0.008748134642309835,0.5754165868607547,0.0,0.6844919786096256
30,Healthcare,A,0.7075652669215944,0.0,0.9207864481663606,0.8598333333333334,0.8651370784236853,0.01377464907155923,0.5516184638958054,0.0,0.6929133858267716
30,Healthcare,D,0.7038816249174897,0.0,0.921638319820428,0.8756666666666666,0.8681599406301438,0.016797511278017763,0.5472131775521931,0.0,0.6860158311345647
30,Healthcare,E,0.6980981007396888,0.0,0.9188312306925123,0.8511666666666666,0.859590689865801,0.008228260513674979,0.5470695269105534,0.0,0.6702412868632708
31,RLV,S,0.6686335210609959,0.0,0.9205835985835206,0.8873333333333332,0.8596754878716973,0.013971318873164384,0.5313852813852814,0.0,0.6824146981627297
31,RLV,A,0.6999660961953786,0.0,0.9213075717694958,0.8823333333333332,0.8685175187623752,0.022813349763842194,0.5917207792207793,0.0,0.688
31,RLV,D,0.5536619173350662,0.0,0.9157508151066371,0.8896666666666667,0.8195252167482434,-0.026178952250289544,0.6051948051948052,0.0,0.7268041237113402
31,RLV,E,0.7138969901785256,0.0,0.9169119239943965,0.9100833333333332,0.8785390763318296,0.03283490733329664,0.6366883116883117,0.0,0.7403598971722365
31,Healthcare,S,0.6534371684261883,0.0,0.9171622820528029,0.9124166666666667,0.8599254602543429,0.005215808318193904,0.557277318640955,0.0,0.7082294264339152
31,Healthcare,A,0.6764044656566837,0.0,0.9164474635203758,0.8910833333333333,0.8621008834105972,0.007391231474448201,0.6152433425160697,0.0,0.656
