domain,tightening,variance_pct,rel_gap_mean,rel_gap_sd,kappa_mean,kappa_sd
Healthcare,0.1,15,0.291732344529177,0.00532697644139652,0.546193972970466,0.2652038199853551
Healthcare,0.1,20,0.29354597304450303,0.004429516683076422,0.21776337236420557,0.20725400992192033
Healthcare,0.1,25,0.29194175181952486,0.007996476385415176,0.15926823018369904,0.1469048747995276
Healthcare,0.1,30,0.2929933463295832,0.006928600480476641,0.2915031498509157,0.26944430113416395
Healthcare,0.125,3,0.36778905379949156,0.013106973306083054,0.8741332421109442,0.04195457459287218
Healthcare,0.125,5,0.3699422335204498,0.009277680438032647,0.8451117537084061,0.0629541159924954
Healthcare,0.125,9,0.37171508177191226,0.0074413908122642515,0.5838246746322129,0.0778449683466506
Healthcare,0.125,15,0.3740016684315265,0.007669550467009026,0.5819569227682179,0.1785679054214693
Healthcare,0.125,20,0.3667194119497223,0.010080604460365024,0.5029972673692186,0.24796097238656864
Healthcare,0.125,25,0.37300957502622445,0.012454787293163218,0.4173611372590219,0.35043078029179225
Healthcare,0.125,30,0.36767304927032907,0.006855160510847386,0.2033047959696292,0.18594133059253076
Healthcare,0.15,3,0.4699852235369419,0.008687536562214533,0.8880194649538481,0.03268976174328331
Healthcare,0.15,5,0.4662958006019465,0.007613940423252298,0.8537672379251349,0.0838556751866523
Healthcare,0.15,9,0.4706600302911433,0.010738981085628967,0.7224715589664157,0.07197862039501952
Healthcare,0.15,15,0.48061579878842975,0.014638474819407903,0.6895740746735027,0.15404941718500864
Healthcare,0.15,20,0.46327750909895854,0.007889377967968215,0.4847757547538028,0.19621485883104067
Healthcare,0.15,25,0.4713655091513715,0.011559346801569958,0.3711454014978356,0.21180584680611375
Healthcare,0.15,30,0.4743466218878642,0.009697398175712019,0.5645075348867974,0.12677238851095288
Healthcare,0.175,3,0.512390881456318,0.018073549792488028,0.8736245766408164,0.056534931636770494
Healthcare,0.175,5,0.5227447543742822,0.015443189646757798,0.7898129674854917,0.04826026462332031
Healthcare,0.175,9,0.5089409996227782,0.008836740012793807,0.7355224384387391,0.04928665390878739
Healthcare,0.175,15,0.5267807225028874,0.017707692649897317,0.45722711564732005,0.2895503501787553
Healthcare,0.175,20,0.5070166104982112,0.014597890346234783,0.3384067103228674,0.19063082915597698
Healthcare,0.175,25,0.5146692608297563,0.016324910338880266,0.22879852047578936,0.2827917071388821
Healthcare,0.175,30,0.5308787321340548,0.017780364483532606,0.0900883494530397,0.20083881522287908
Healthcare,0.2,3,0.4772332762404165,0.011389238663548922,0.8875359114563182,0.03243570888227178
Healthcare,0.2,5,0.4756669707364075,0.020656840210569564,0.8198594113180441,0.07941965958134646
Healthcare,0.2,9,0.4825724931974154,0.02692323496781424,0.6812763226425164,0.19042779190646938
Healthcare,0.2,15,0.46061222501350985,0.020981095794207028,0.4398773385378306,0.18918069038221377
Healthcare,0.2,20,0.4506233856934892,0.01009232243709783,0.5715884234465729,0.286630631070492
Healthcare,0.2,25,0.4868867815167814,0.03637520647330122,0.12417989077267219,0.1658556146782705
Healthcare,0.2,30,0.47375415403200394,0.020130571948458898,0.23227947673341628,0.3144165287559698
