domain,n_seeds,metric,mean,sd,ci95,vmin,vmax
RLV,400,a_triad,0.7092592064702745,0.011495362584078786,0.0011265455332397209,0.6738255863094871,0.7400206428838163
RLV,400,ts,0.917084130745703,2.223226821848096e-16,2.178762285411134e-17,0.9170841307457028,0.9170841307457028
RLV,400,sr,0.8700833333333334,0.0,0.0,0.8700833333333334,0.8700833333333334
Healthcare,5,rel,0.8554771412401643,0.0037194829536025395,0.0032602705563595335,0.8510835226705512,0.8609964890072881
Healthcare,5,a_triad,0.7391443057686703,0.012884515550353496,0.011293775830075464,0.724010526924797,0.7583359988305262
Healthcare,5,ts,0.9171212450434396,0.0,0.0,0.9171212450434396,0.9171212450434396
Healthcare,5,sr,0.84925,1.2412670766236366e-16,1.0880185641326533e-16,0.8492500000000001,0.8492500000000001
Healthcare,10,rel,0.8566859328328977,0.0032837003763133994,0.002035258579169663,0.8510835226705512,0.8611735773552721
Healthcare,10,a_triad,0.7433222728943042,0.011394942201988953,0.007062658348194871,0.724010526924797,0.7589600845648069
Healthcare,10,ts,0.9171212450434396,0.0,0.0,0.9171212450434396,0.9171212450434396
Healthcare,10,sr,0.84925,1.1702778228589004e-16,7.253457094217689e-17,0.8492500000000001,0.8492500000000001
Healthcare,25,rel,0.8561840816784758,0.003565179025157654,0.0013975501778618004,0.848354424049944,0.8627292163000593
Healthcare,25,a_triad,0.7415972200625573,0.01233461700029475,0.0048351698641155415,0.7147686019368612,0.7644589568903436
Healthcare,25,ts,0.9171212450434396,0.0,0.0,0.9171212450434396,0.9171212450434396
Healthcare,25,sr,0.8492500000000001,0.0,0.0,0.8492500000000001,0.8492500000000001
Healthcare,50,rel,0.8566318549466664,0.00352258020288137,0.0009764094167025132,0.848354424049944,0.8647570730485896
Healthcare,50,a_triad,0.7431495115984583,0.012214397090932793,0.003385658140352696,0.7147686019368612,0.7716718227171966
Healthcare,50,ts,0.9171212450434396,0.0,0.0,0.9171212450434396,0.9171212450434396
Healthcare,50,sr,0.8492499999999998,2.2429892266911074e-16,6.217248937900877e-17,0.8492500000000001,0.8492500000000001
Healthcare,100,rel,0.8565352338007881,0.003593052540218173,0.0007042382978827619,0.848354424049944,0.8647570730485896
Healthcare,100,a_triad,0.7428180634888174,0.012452857180006828,0.002440760007281338,0.7147686019368612,0.7716718227171966
Healthcare,100,ts,0.9171212450434393,3.3474483693592255e-16,6.560998803944082e-17,0.9171212450434396,0.9171212450434396
Healthcare,100,sr,0.8492499999999997,3.3474483693592255e-16,6.560998803944082e-17,0.8492500000000001,0.8492500000000001
Healthcare,200,rel,0.8565764362182432,0.0034484259158578346,0.00047792744850641105,0.848354424049944,0.8647570730485896
Healthcare,200,a_triad,0.7429552177475677,0.011947297164090811,0.0016558109089495664,0.7147686019368612,0.7716718227171966
Healthcare,200,ts,0.9171212450434396,0.0,0.0,0.9171212450434396,0.9171212450434396
Healthcare,200,sr,0.8492499999999998,2.2260180681725107e-16,3.085103643255179e-17,0.8492500000000001,0.8492500000000001
Healthcare,400,rel,0.856519352591905,0.003275206921882006,0.0003209702783444366,0.8482435651692694,0.8647570730485896
Healthcare,400,a_triad,0.7427503375331358,0.011348483699770453,0.0011121514025775043,0.7143950650541161,0.7716718227171966
Healthcare,400,ts,0.9171212450434396,0.0,0.0,0.9171212450434396,0.9171212450434396
Healthcare,400,sr,0.8492499999999998,2.223226821848096e-16,2.178762285411134e-17,0.8492500000000001,0.8492500000000001
