domain,Xi_before,Xi_repair_true,Xi_repair_declared,cost,ctx_gap,clipped
RLV,0.047369048686343895,0.014871078999777817,0.015054785566719816,0.00018370656694199905,0.00841721152916736,False
RLV,0.03701658900544142,0.01285350755074209,0.013268577758503847,0.0004150702077617575,0.00841721152916736,False
RLV,0.0808212398823636,0.023872430049364634,0.0671961310958979,0.04332370104653327,0.03838342901066133,True
RLV,0.03133690643272824,0.009612474970505517,0.012960744058328887,0.0033482690878233693,0.00841721152916736,False
RLV,0.07356133841818903,0.018306179822856095,0.0425392142896661,0.024233034466810008,0.051569522396934464,False
RLV,0.04577738750630608,0.016055762548930708,0.05279785328190667,0.03674209073297596,0.03838342901066133,True
RLV,0.05408606757839734,0.01484396790214629,0.03700462874869389,0.0221606608465476,0.051569522396934464,False
RLV,0.02746085217840505,0.009575809931695444,0.012372564880636108,0.002796754948940664,0.00841721152916736,False
RLV,0.028833589597489023,0.009954978271208283,0.011063456635734534,0.0011084783645262507,0.00841721152916736,False
RLV,0.04657696190199219,0.011881226324226783,0.013664121099329594,0.001782894775102812,0.00841721152916736,False
RLV,0.034863610382418586,0.01130452806668716,0.015209396342672751,0.003904868275985591,0.00841721152916736,False
RLV,0.0434806347983309,0.012156748707286603,0.030218343234925435,0.018061594527638832,0.03838342901066133,True
RLV,0.03875885726453303,0.011484768681809376,0.032924476411285486,0.02143970772947611,0.03838342901066133,True
Healthcare,0.043966481885798894,0.012382990029584972,0.033543660387693505,0.021160670358108535,0.029513298099361217,True
Healthcare,0.030994463147630366,0.010314155841111419,0.029551458006946345,0.019237302165834927,0.05108577054265902,False
Healthcare,0.03177530464095691,0.009490301058786463,0.031034125201576685,0.02154382414279022,0.029513298099361217,True
Healthcare,0.03707657238187813,0.012869479234420373,0.032287498113125396,0.01941801887870502,0.029513298099361217,True
Healthcare,0.04538980320613914,0.014071908798874965,0.035077963174829946,0.02100605437595498,0.029513298099361217,True
Healthcare,0.03975863200315172,0.011449599623075079,0.048225815922389066,0.03677621629931399,0.029513298099361217,True
Healthcare,0.05162358349001045,0.014826974282889569,0.035975422491035754,0.021148448208146185,0.029513298099361217,True
Healthcare,0.054579985582264706,0.015487626524614592,0.05065036198043256,0.03516273545581797,0.029513298099361217,True
Healthcare,0.06375830416245924,0.016156901069545083,0.039190382629633244,0.02303348156008816,0.029513298099361217,True
Healthcare,0.030394016567533166,0.0090563922299321,0.029941505716680247,0.020885113486748146,0.029513298099361217,True
Healthcare,0.060333926704109926,0.016228887527496075,0.0426735626277451,0.02644467510024902,0.029513298099361217,True
Healthcare,0.02201523756828908,0.007339126948788166,0.04862722641232299,0.04128809946353482,0.029513298099361217,True
Healthcare,0.03518203775805877,0.010267633941408033,0.04261919293463905,0.032351558993231014,0.029513298099361217,True
Healthcare,0.03613335335286089,0.010479985246964382,0.03757735737446768,0.027097372127503294,0.029513298099361217,True
Healthcare,0.023464590157711143,0.007508427795527115,0.028316083612060436,0.02080765581653332,0.029513298099361217,True
Healthcare,0.06050178010731691,0.016580515930980696,0.040174307216098444,0.023593791285117748,0.029513298099361217,True
Healthcare,0.061620017110061105,0.019799104351497288,0.06622172242442571,0.046422618072928426,0.029513298099361217,True
Healthcare,0.10819795284732138,0.024963713329251926,0.06338994106859215,0.03842622773934022,0.029513298099361217,True
Healthcare,0.08044616299172741,0.024213107604350758,0.06389068384660687,0.03967757624225611,0.029513298099361217,True
Healthcare,0.06880842577057084,0.01735307574612539,0.04085377605921273,0.023500700313087344,0.029513298099361217,True
Healthcare,0.09247710916684616,0.024836756583493134,0.0522761581651702,0.027439401581677066,0.029513298099361217,True
Healthcare,0.03707657238187813,0.012869479234420373,0.01996643992647688,0.007096960692056507,0.031124092330784496,True
Healthcare,0.09730567026887971,0.030196833536813635,0.06200972094738536,0.03181288741057173,0.029513298099361217,True
Healthcare,0.02815694504429015,0.00955663315756349,0.03277320665930988,0.023216573501746385,0.029513298099361217,True
Healthcare,0.05351853547258222,0.014817602732441908,0.03861431780160179,0.02379671506915988,0.029513298099361217,True
Healthcare,0.056967341121375456,0.018157442160413498,0.05544356442290522,0.03728612226249172,0.029513298099361217,True
Healthcare,0.08295404777192528,0.025212979901319876,0.06039299407489567,0.035180014173575795,0.029513298099361217,True
Healthcare,0.06303895641984274,0.020800009972261425,0.05145227915740749,0.030652269185146068,0.029513298099361217,True
Healthcare,0.03658275307736962,0.012094448003447368,0.03718602225435671,0.02509157425090934,0.029513298099361217,True
Healthcare,0.08419130007312015,0.02263325597089234,0.05202331628670349,0.029390060315811147,0.029513298099361217,True
Healthcare,0.03324925466926435,0.010310870527793484,0.029898454745240038,0.019587584217446552,0.029513298099361217,True
Healthcare,0.02942398344887335,0.010439880894479139,0.027700927712668005,0.017261046818188866,0.05108577054265902,False
