domain,delta,adm_genesis,adm_mutation,adm_repair,dip,recovery,A_triad,TS,SR,Rel,operating_point
Healthcare,0.15,0.09695603156708005,0.07328072153325817,0.17023675310033823,0.02367531003382188,0.09695603156708006,0.7583359988305262,0.9174039447938419,0.16975,0.5862164683612879,False
Healthcare,0.16,0.12401352874859076,0.0834272829763247,0.2040586245772266,0.040586245772266064,0.1206313416009019,0.7583359988305262,0.9174039447938419,0.20316666666666663,0.6131527533839475,False
Healthcare,0.17,0.1488162344983089,0.09470124013528748,0.2491544532130778,0.05411499436302143,0.1544532130777903,0.7583359988305262,0.9174039447938419,0.24758333333333332,0.6442225468865722,False
Healthcare,0.18,0.16798196166854565,0.1104847801578354,0.3043968432919955,0.057497181510710246,0.1939120631341601,0.7583359988305262,0.9174039447938419,0.30083333333333334,0.676374238477746,False
Healthcare,0.19,0.20293122886133033,0.1375422773393461,0.34723788049605414,0.06538895152198423,0.20969560315670804,0.7583359988305262,0.9174039447938419,0.34491666666666665,0.6998969711785117,False
Healthcare,0.2,0.237880496054115,0.1589627959413754,0.40586245772266066,0.07891770011273957,0.24689966178128525,0.7583359988305262,0.9174039447938419,0.4045,0.7283417419559353,False
Healthcare,0.21,0.27395715896279593,0.17474633596392333,0.45659526493799324,0.0992108229988726,0.2818489289740699,0.7583359988305262,0.9174039447938419,0.4570833333333333,0.7509385772126836,False
Healthcare,0.22,0.3201803833145434,0.19503945885005636,0.5208568207440811,0.12514092446448705,0.32581736189402477,0.7583359988305262,0.9174039447938419,0.5216666666666667,0.776164617210685,False
Healthcare,0.23,0.36076662908680945,0.2322435174746336,0.5738444193912063,0.12852311161217586,0.3416009019165728,0.7583359988305262,0.9174039447938419,0.57375,0.7948519493137526,False
Healthcare,0.24,0.41037204058624577,0.2593010146561443,0.6302142051860203,0.15107102593010147,0.37091319052987604,0.7583359988305262,0.9174039447938419,0.6310833333333333,0.8140053264417357,False
Healthcare,0.25,0.5005636978579482,0.3551296505073281,0.6786922209695603,0.1454340473506201,0.3235625704622322,0.7583359988305262,0.9174039447938419,0.6805833333333333,0.8295181566696119,False
Healthcare,0.26,0.5400225479143179,0.37767756482525366,0.7192784667418264,0.16234498308906425,0.3416009019165727,0.7583359988305262,0.9174039447938419,0.7194999999999999,0.8411302820824617,False
Healthcare,0.27,0.5749718151071026,0.4081172491544532,0.7531003382187148,0.16685456595264941,0.3449830890642616,0.7583359988305262,0.9174039447938419,0.7540833333333333,0.8510604418745393,False
Healthcare,0.28,0.6065388951521984,0.44419391206313413,0.7835400225479143,0.16234498308906425,0.3393461104847802,0.7583359988305262,0.9174039447938419,0.7824166666666668,0.8589444784595889,False
Healthcare,0.29,0.6459977452085682,0.4746335963923337,0.8151071025930101,0.17136414881623452,0.3404735062006764,0.7583359988305262,0.9174039447938419,0.8121666666666667,0.8669955317650694,False
Healthcare,0.3,0.7260428410372041,0.5772266065388951,0.8387824126268321,0.14881623449830894,0.26155580608793694,0.7583359988305262,0.9174039447938419,0.835,0.873026020207767,False
Healthcare,0.31,0.7474633596392334,0.6020293122886133,0.8511837655016911,0.14543404735062004,0.24915445321307772,0.7583359988305262,0.9174039447938419,0.8492500000000001,0.8767271543229602,True
Healthcare,0.32,0.7666290868094702,0.644870349492672,0.8703494926719278,0.1217587373167982,0.22547914317925588,0.7583359988305262,0.9174039447938419,0.8678333333333333,0.881484440635971,False
Healthcare,0.33,0.7857948139797069,0.6764374295377678,0.887260428410372,0.1093573844419391,0.21082299887260425,0.7583359988305262,0.9174039447938419,0.8830000000000001,0.8853107646263442,False
Healthcare,0.34,0.8072153325817362,0.6933483652762119,0.8996617812852311,0.11386696730552426,0.2063134160090192,0.7583359988305262,0.9174039447938419,0.8945000000000001,0.8881793163446954,False
Healthcare,0.35,0.8556933483652762,0.762119503945885,0.9177001127395716,0.0935738444193912,0.15558060879368663,0.7583359988305262,0.9174039447938419,0.9128333333333333,0.8926956975476383,False
