track_id,g_S,g_A,g_D,g_E,context_label
175,0.09217010011622816,0.9066029783765814,0.5833333333333334,1.0,dense_day
176,0.3373486728016661,0.9519163328094896,0.5,0.0,dense_day
177,0.349235392136541,0.9773426976459209,0.5833333333333334,0.0,dense_day
178,0.01330142210090458,0.9229024792716056,0.08333333333333333,0.0,sparse_day
179,0.49392959218672433,0.7673275620685492,0.25,1.0,sparse_day
180,0.09174895743282539,0.6137733075635159,0.5833333333333334,0.0,dense_day
181,0.3285944051318875,0.9434501078049521,0.3333333333333333,0.0,sparse_day
182,0.3545597677840445,0.9683272864794571,0.08333333333333333,1.0,sparse_day
183,0.2919349598434048,0.9705681312190297,0.4166666666666667,1.0,sparse_day
184,0.37273022618157997,0.9437106663952198,0.5,1.0,dense_day
185,0.18739686248415832,0.9055954729622226,0.5,1.0,dense_day
186,0.28202525163365816,0.9688447177646916,0.6666666666666666,0.0,dense_day
187,0.17624483356954573,0.841079590317386,0.4166666666666667,0.0,sparse_day
188,0.16827930737822946,0.9389461596332177,0.16666666666666666,1.0,sparse_day
189,0.26158570622836436,0.9813097950916915,0.5,0.0,dense_day
190,0.43945565229433925,0.9860335106011772,0.5833333333333334,1.0,dense_day
191,0.25300886786272025,0.9214613431851822,0.3333333333333333,0.03225806451612903,sparse_day
192,0.7528349102963378,0.7843277160581117,0.5833333333333334,1.0,dense_day
193,0.8382036798005108,0.8512460112678144,0.5833333333333334,1.0,dense_day
194,0.20015331421793534,0.9650158708035617,0.25,0.0,sparse_day
195,0.6747042571098592,0.9181298584145269,0.25,1.0,sparse_day
196,0.46249131604971344,0.8584322189769003,0.5,1.0,dense_day
197,0.5463660556059527,0.9751055007580292,0.5,1.0,dense_day
198,0.31243540409934417,0.9769062119604254,0.5,1.0,dense_day
199,0.10813003044226127,0.9463743588968743,0.3333333333333333,0.3225806451612903,sparse_day
200,0.2418562666213928,0.9245334815175482,0.5,1.0,dense_day
201,0.6162985897138846,0.9746955737296514,0.6666666666666666,1.0,dense_day
202,0.13166341883080065,0.9544968641285929,0.5833333333333334,0.0,dense_day
203,0.2732821387370243,0.955383894524355,0.5833333333333334,1.0,dense_day
204,0.2454739389170248,0.827355580210499,0.5833333333333334,0.0,dense_day
205,0.48853279363087315,0.9112872106260006,0.5,1.0,dense_day
206,0.5616653572002495,0.9166901250690406,0.5,1.0,dense_day
207,0.2956906360534438,0.9095302310404952,0.4166666666666667,0.9032258064516129,sparse_day
208,0.28113155705270965,0.9026897669655536,0.25,0.0,sparse_day
209,0.3662312599246414,0.9541034676701197,0.4166666666666667,1.0,sparse_day
210,0.3542595837912484,0.8923905957553278,0.25,1.0,sparse_day
211,0.0979644408702906,0.6248191087599908,0.6666666666666666,1.0,dense_day
212,0.16924487767722404,0.9939484567450434,0.6666666666666666,1.0,dense_day
213,0.19348913653197555,0.7829832534170053,0.9166666666666666,1.0,dense_day
214,0.32136251517682174,0.9689078720859609,0.4166666666666667,0.0,sparse_day
215,0.3405006988999873,0.9309275325694072,0.25,0.6129032258064516,sparse_day
216,0.1537304842673454,0.8946183984105377,0.5833333333333334,1.0,dense_day
217,0.37221406890449377,0.9721278381429816,0.8333333333333334,1.0,dense_day
218,0.31149439338349644,0.8935004456479886,0.8333333333333334,0.0,dense_day
219,0.34580882525467815,0.9813320659307269,0.75,0.0,dense_day
220,0.6668528099849877,0.9260406129265645,0.8333333333333334,1.0,dense_day
221,0.270870780793319,0.9541626242480374,0.5833333333333334,1.0,dense_day
222,0.2954103359619127,0.9226833575344227,0.5833333333333334,0.0,dense_day
223,0.16737466886856678,0.8294355628350755,0.3333333333333333,1.0,sparse_day
224,0.3862026583917352,0.8519228537376481,0.16666666666666666,1.0,sparse_day
225,0.33237178072031953,0.9586487041935947,0.5,1.0,dense_day
226,0.18235573100782487,0.9786598892924647,0.5,0.0,dense_day
227,0.1587196988543985,0.8159106454784071,0.5,0.0,dense_day
228,0.4661589602411206,0.9560617041939765,0.3333333333333333,1.0,sparse_day
229,0.19710419543100247,0.9936124610194969,0.4166666666666667,0.0,sparse_day
230,0.3846932032745084,0.9257136957980506,0.75,1.0,dense_day
231,0.41793033408288216,0.9477215511580235,0.4166666666666667,1.0,sparse_day
232,0.5824285861750137,0.7490286168362629,0.4166666666666667,1.0,sparse_day
233,0.3528723527522812,0.8664800195105915,0.4166666666666667,0.3870967741935484,sparse_day
234,0.011840122620029753,0.795890198828245,0.9166666666666666,0.7419354838709677,dense_day
235,0.2578165711880101,0.935860320294719,0.6666666666666666,1.0,dense_day
236,0.009795884162467853,0.9083889888421455,0.25,0.0,sparse_day
237,0.21507108073677553,0.8728982909994332,0.5833333333333334,0.16129032258064516,dense_day
238,0.3721661419682364,0.9211670124173605,0.9166666666666666,0.0,dense_day
239,0.2797696613590462,0.9536036989813442,0.8333333333333334,1.0,dense_day
240,0.12764855139931588,0.9468536293926935,0.5833333333333334,1.0,dense_day
241,0.29445605702590333,0.9456000006800733,0.4166666666666667,0.0,sparse_day
242,0.3984228232746067,0.9859034437718791,0.9166666666666666,1.0,dense_day
243,0.09060313046436973,0.9394136591571022,1.0,1.0,dense_day
244,0.34843052157589083,0.9447524821062442,0.8333333333333334,0.0,dense_day
245,0.1211723688017886,0.8560980466127488,0.6666666666666666,0.0,dense_day
246,0.3129524697853569,0.8915264026311778,0.6666666666666666,0.0,dense_day
247,0.30504297725306995,0.91908345886779,0.75,1.0,dense_day
248,0.3235784444677394,0.9430456278838278,0.5,0.0,dense_day
249,0.2837771617751706,0.9814714989003839,0.6666666666666666,0.0,dense_day
250,0.4508222958138469,0.9630797689452184,0.75,1.0,dense_day
251,0.42194307831527683,0.9340185925615644,0.9166666666666666,1.0,dense_day
252,0.25587572276675513,0.9120543164879112,0.8333333333333334,1.0,dense_day
253,0.2901550646006169,0.6805228250854785,0.6666666666666666,1.0,dense_day
254,0.16290708413474705,0.9590546107674752,1.0,1.0,dense_day
255,0.12250137295944159,0.5680285318175251,0.75,1.0,dense_day
256,0.20041419248296202,0.907350798162102,0.75,0.3548387096774194,dense_day
257,0.47140943483923103,0.9721668404763886,0.75,0.8387096774193549,dense_day
258,0.36964882843913544,0.9694890174776819,0.75,1.0,dense_day
259,0.28068077625997107,0.9572320740170649,0.75,1.0,dense_day
260,0.1400053139505283,0.9783884210991523,0.75,1.0,dense_day
261,0.4117360409432556,0.9468619273467292,0.75,1.0,dense_day
262,0.356264833380956,0.8502753093794992,0.8333333333333334,1.0,dense_day
263,0.1930491961806168,0.8871319721236,0.4166666666666667,0.0,sparse_day
264,0.2697156424988653,0.890254743327037,0.3333333333333333,0.0,sparse_day
265,0.08397550525344016,0.7454801379458302,0.4166666666666667,0.0,sparse_day
266,0.22488494887643629,0.9825486823078582,0.4166666666666667,1.0,sparse_day
267,0.2722915219722196,0.4166429414787317,0.4166666666666667,1.0,sparse_day
268,0.21218225400431523,0.9828626861567464,0.16666666666666666,1.0,sparse_day
269,0.31360384015692955,0.9720989489815123,0.4166666666666667,0.0,sparse_day
270,0.09374876984369993,0.8758876065461026,0.6666666666666666,1.0,dense_day
271,0.34158718502790314,0.9775124179492365,1.0,1.0,dense_day
272,0.4763486671858095,0.9537277205429017,0.8333333333333334,1.0,dense_day
273,0.2009211979957883,0.9548900973946166,0.4166666666666667,1.0,sparse_day
274,0.3634196658116309,0.9445843977457241,0.8333333333333334,0.0,dense_day
275,0.14401503360905366,0.9481874079126761,1.0,1.0,dense_day
276,0.1618257698255991,0.9637839399966359,1.0,1.0,dense_day
277,0.14827980610405872,0.9454913088030636,1.0,1.0,dense_day
278,0.33854014016245937,0.891101260781527,1.0,0.0,dense_day
279,0.16711907762135947,0.6785230212923394,1.0,1.0,dense_day
280,0.3156684390918301,0.8989344065438978,0.6666666666666666,1.0,dense_day
281,0.5124733180567712,0.9151913014234374,0.9166666666666666,1.0,dense_day
282,0.2426614685141824,0.9136681853104303,1.0,1.0,dense_day
283,0.34690674137650934,0.9854033865757208,1.0,1.0,dense_day
284,0.24348117472709918,0.9088218444870766,1.0,1.0,dense_day
285,0.1661888046391189,0.9163750984824989,1.0,1.0,dense_day
286,0.18196420084153228,0.8100969464075986,0.9166666666666666,1.0,dense_day
287,0.3003225869421994,0.9768749134921869,0.5833333333333334,1.0,dense_day
288,0.4963033342591857,0.7372158553686756,0.75,1.0,dense_day
289,0.2838473896424299,0.8775811552757178,0.3333333333333333,1.0,sparse_day
290,0.5996037842249727,0.9550085192267326,0.25,1.0,sparse_day
291,0.1623733889352742,0.9759271605621167,0.3333333333333333,0.0,sparse_day
292,0.029533094074385945,0.8614081033408755,0.5,0.0,dense_day
293,0.2669604160436169,0.8091819709242536,0.4166666666666667,1.0,sparse_day
294,0.3430019185046088,0.8509943995736855,0.3333333333333333,0.0,sparse_day
295,0.18959447594898152,0.8472103354282643,0.16666666666666666,0.1935483870967742,sparse_day
296,0.3867253831176974,0.869077123947123,0.08333333333333333,0.3870967741935484,sparse_day
297,0.5315885706905977,0.9218118467722864,0.8333333333333334,1.0,dense_day
298,0.30227002339969267,0.9633247189464613,0.5833333333333334,0.0,dense_day
299,0.22481519022501775,0.9618028080273248,0.9166666666666666,1.0,dense_day
300,0.3227770599008084,0.8915120926265947,0.75,1.0,dense_day
301,0.24010261816538592,0.9590393989976385,0.8333333333333334,1.0,dense_day
302,0.47153548114215865,0.8929250110622651,0.6666666666666666,1.0,dense_day
303,0.48613137357643044,0.9669946383105152,0.75,0.0,dense_day
304,0.0986439741274079,0.526838300498601,0.6666666666666666,0.0,dense_day
305,0.38502919410215386,0.9850296388236403,0.8333333333333334,1.0,dense_day
306,0.3538363304854953,0.5921689715952032,0.8333333333333334,1.0,dense_day
307,0.12103691056512847,0.9591016624294132,0.25,0.06451612903225806,sparse_day
308,0.5844249367383126,0.9274952796671138,0.75,1.0,dense_day
309,0.41103999529801405,0.9327876496876822,0.8333333333333334,1.0,dense_day
310,0.23918002522272375,0.9535360476396797,0.75,0.0,dense_day
311,0.2606723544275471,0.9091645867481166,0.3333333333333333,0.3548387096774194,sparse_day
312,0.40726791734147355,0.9904746455615145,0.6666666666666666,1.0,dense_day
313,0.30790951282810636,0.8172632176318096,0.3333333333333333,0.0,sparse_day
314,0.2703136386048611,0.9088507498786214,0.5,0.9032258064516129,dense_day
315,0.26704090955798154,0.9640145992149719,0.5,1.0,dense_day
316,0.5001136956966569,0.9088614443631606,0.4166666666666667,1.0,sparse_day
317,0.42237360452843414,0.9827559117688917,0.5,1.0,dense_day
318,0.2888958688014467,0.9866525053627979,0.5,1.0,dense_day
319,0.3913370759688067,0.9872847025766152,0.3333333333333333,1.0,sparse_day
320,0.2614151725438224,0.940317931645246,0.5,0.0,dense_day
321,0.5030513089512049,0.9542876027918386,0.5,1.0,dense_day
322,0.29294022653483,0.8866661314528044,0.4166666666666667,0.0,sparse_day
323,0.59339774985698,0.9765684414288207,0.5,1.0,dense_day
324,0.5021052579103645,0.9263679975695536,0.16666666666666666,1.0,sparse_day
325,0.17097571091227642,0.8911371964904876,0.4166666666666667,0.0,sparse_day
326,0.3155880991859556,0.9424900280849839,0.25,0.0,sparse_day
327,0.49057978614970005,0.9272014357934847,0.5,1.0,dense_day
328,0.2748436516232434,0.8284613665317128,0.4166666666666667,1.0,sparse_day
329,0.5725611595288118,0.8800269908915652,0.25,1.0,sparse_day
330,0.5335183217080801,0.9726422218934221,0.4166666666666667,1.0,sparse_day
331,0.3887467403607073,0.9651462684491947,0.5,0.4838709677419355,dense_day
332,0.4577232680347591,0.9423997700286385,0.5833333333333334,1.0,dense_day
333,0.4930977078695705,0.9695514150086757,0.5833333333333334,1.0,dense_day
334,0.2816945901379838,0.8742920372546326,0.6666666666666666,1.0,dense_day
335,0.05641459017193184,0.9403350401965486,0.25,1.0,sparse_day
336,0.2560059911075446,0.8929829056300855,0.5833333333333334,1.0,dense_day
337,0.030513267142961088,0.9135691004548707,0.5833333333333334,1.0,dense_day
338,0.3302020090575971,0.974899210609729,0.8333333333333334,0.0,dense_day
339,0.21481484947690838,0.8968526093316617,0.9166666666666666,1.0,dense_day
340,0.43991928419240256,0.9623390891166901,0.6666666666666666,1.0,dense_day
341,0.21093503057751786,0.8398846202837145,0.75,0.0,dense_day
342,0.32539967696609506,0.9558435998057669,0.8333333333333334,1.0,dense_day
343,0.37618700215676193,0.9724094495650902,0.8333333333333334,1.0,dense_day
344,0.20362875555270174,0.7562233043344445,0.5,1.0,dense_day
345,0.4231215292656667,0.9508811219717558,0.75,1.0,dense_day
346,0.181963163472107,0.5715281600318187,0.5833333333333334,1.0,dense_day
347,0.18978187735689514,0.976683174723502,0.5,1.0,dense_day
348,0.21260792283834312,0.8019963540152154,0.5,0.0,dense_day
349,0.27986371941752747,0.8727769031027199,0.5,1.0,dense_day
350,0.3372055234709415,0.9441624659825617,0.4166666666666667,1.0,sparse_day
351,0.36046153911190165,0.9469581751357675,0.75,1.0,dense_day
352,0.40862490648078614,0.9537557204671157,0.4166666666666667,0.0,sparse_day
353,0.26349107238105723,0.9074451762742435,0.6666666666666666,1.0,dense_day
354,0.14806253618137075,0.9565439142200376,0.5,0.0,dense_day
355,0.3279822769402012,0.873711590933906,0.5,0.0,dense_day
356,0.3867021330356649,0.9343856607644035,0.4166666666666667,1.0,sparse_day
357,0.40375968408027973,0.8581279013005142,0.6666666666666666,1.0,dense_day
358,0.40450815093956377,0.9484929715762881,0.4166666666666667,0.0,sparse_day
